popularity,vote_count,id,genre_ids,title,vote_average,release_date
93.552,838,512895,"[10749, 35, 10751]",Lady and the Tramp,7.3,2019-11-12
92.963,1716,228326,"[16, 12, 35, 10751, 14]",The Book of Life,7.5,2014-10-01
92.799,87,627879,"[28, 10752]",Rogue Warfare,5.7,2019-10-04
91.8,14299,674,"[12, 14, 10751]",Harry Potter and the Goblet of Fire,7.8,2005-11-16
90.331,203,520901,"[28, 878, 27, 9648]",Doom: Annihilation,4.8,2019-09-30
90.323,4472,14836,"[16, 10751, 14]",Coraline,7.7,2009-02-05
90.283,8797,216015,"[18, 53, 10749]",Fifty Shades of Grey,5.8,2015-02-11
88.882,9010,363088,"[28, 12, 878, 35]",Ant-Man and the Wasp,7.0,2018-07-04
88.261,3060,346910,"[28, 12, 35, 27, 878, 53]",The Predator,5.5,2018-09-05
87.976,496,6933,"[27, 9648, 53]",One Missed Call,5.5,2008-01-04
87.606,12491,109445,"[16, 12, 10751]",Frozen,7.3,2013-11-27
86.453,9259,260513,"[28, 12, 16, 10751]",Incredibles 2,7.5,2018-06-14
86.299,2040,423204,"[28, 53]",Angel Has Fallen,6.4,2019-08-21
86.26,23381,24428,"[878, 28, 12]",The Avengers,7.7,2012-04-25
84.743,148,500916,[28],Primal,6.2,2019-12-27
84.574,919,506574,"[12, 14, 10402, 10751, 10770]",Descendants 3,7.9,2019-08-09
84.552,8808,324786,"[18, 36, 10752]",Hacksaw Ridge,8.1,2016-10-07
84.24,16154,135397,"[28, 12, 878, 53]",Jurassic World,6.6,2015-06-06
84.088,31,309013,"[27, 53, 9648]",Scream at the Devil,5.5,2015-10-30
83.906,8867,335984,"[878, 18]",Blade Runner 2049,7.5,2017-10-04
83.844,221,489245,"[28, 18, 53]",The Kill Team,6.8,2019-10-17
82.579,3405,480530,[18],Creed II,6.9,2018-11-21
82.546,24098,157336,"[12, 18, 878]",Interstellar,8.3,2014-11-05
